transaction_id,user_id,amount,transaction_time,merchant_category,location,device_type,payment_method,failed_attempts,is_fraud
100025,532,20198.86,2026-01-29 19:44:48,Food,Bangalore,Mobile,Wallet,5,False
100026,1097,77880.05,2026-04-18 10:34:01,Electronics,Hyderabad,Web,Net Banking,5,False
100027,997,44599.49,2026-06-21 23:41:55,Jewelry,Delhi,Mobile,Net Banking,1,False
100028,1617,78401.08,2026-02-27 16:38:41,Luxury,Hyderabad,Mobile,Card,0,False
100029,1301,38749.81,2026-03-01 13:19:28,Luxury,Chennai,Mobile,Card,0,False
100030,1187,102348.01,2026-04-25 19:10:19,Jewelry,Pune,Web,Card,4,False
100031,1718,48739.51,2026-06-21 12:24:36,Electronics,Hyderabad,Mobile,Net Banking,3,False
100032,1442,130434.74,2026-02-19 02:23:58,Food,Mumbai,POS,Card,2,False
100033,964,83926.58,2026-02-23 01:04:59,Food,Delhi,Mobile,Net Banking,0,False
100034,913,29596.39,2026-05-17 22:55:52,Food,Chennai,Web,Net Banking,1,False
100035,918,125218.82,2026-06-17 01:02:14,Electronics,Pune,POS,Net Banking,1,False
100036,1551,101656.26,2026-04-18 03:46:47,Luxury,Hyderabad,Web,Wallet,1,False
100037,939,118101.5,2026-01-20 05:16:21,Food,Delhi,Mobile,Net Banking,0,False
100038,758,100649.63,2026-02-20 22:40:55,Electronics,Mumbai,Mobile,Net Banking,3,False
100039,1455,43185.88,2026-02-23 19:00:37,Jewelry,Pune,Mobile,Card,1,False
100040,1420,99475.4,2026-03-25 18:29:23,Food,Chennai,Web,UPI,3,False
100041,1889,139754.74,2026-03-08 11:42:00,Food,Hyderabad,POS,UPI,2,False
100042,703,101180.47,2026-06-23 23:11:14,Food,Mumbai,Mobile,Net Banking,4,False
100043,1345,11417.47,2026-03-21 10:45:07,Luxury,Bangalore,Web,Wallet,4,False
100044,1733,75704.22,2026-06-09 05:01:12,Electronics,Hyderabad,Mobile,Wallet,5,False
100045,782,66582.65,2026-01-16 12:52:01,Electronics,Pune,Mobile,Card,3,False
100046,686,90266.0,2026-04-20 13:26:06,Food,Hyderabad,POS,Net Banking,0,False
100047,1115,27145.77,2026-02-01 13:45:32,Jewelry,Mumbai,Mobile,UPI,0,False
100048,540,21200.19,2026-02-20 06:39:49,Electronics,Hyderabad,Web,Net Banking,3,False
100049,686,131371.07,2026-02-12 01:13:46,Food,Pune,POS,UPI,4,True
100050,1821,57111.21,2026-05-17 00:03:08,Luxury,Hyderabad,POS,Wallet,5,True
100051,892,109309.18,2026-04-10 03:38:02,Jewelry,Hyderabad,POS,Wallet,4,True
100052,1543,125906.09,2026-05-03 03:57:51,Luxury,Mumbai,Mobile,Card,5,True
100053,830,132955.38,2026-02-06 08:38:44,Luxury,Bangalore,POS,Wallet,1,False
100054,1921,129365.58,2026-04-17 04:28:26,Electronics,Mumbai,Web,Wallet,5,True
100055,1491,49016.31,2026-01-29 15:32:15,Food,Delhi,Mobile,Wallet,3,False
100056,694,529.06,2026-04-10 06:57:06,Jewelry,Chennai,POS,UPI,3,False
100057,547,120497.59,2026-06-09 21:42:09,Luxury,Delhi,Mobile,Card,1,False
100058,1751,129364.53,2026-01-01 20:11:42,Electronics,Pune,Web,Wallet,0,False
100059,1001,36964.24,2026-04-12 15:21:22,Food,Pune,Mobile,Card,1,False
100060,979,85122.05,2026-02-04 06:51:33,Luxury,Chennai,Mobile,Card,0,False
100061,1760,68245.29,2026-04-30 17:14:12,Jewelry,Chennai,Mobile,Net Banking,1,False
100062,545,114943.42,2026-02-10 12:41:40,Luxury,Bangalore,Web,UPI,4,False
100063,855,49864.28,2026-04-06 07:21:33,Luxury,Pune,POS,Net Banking,2,False
100064,1109,103958.87,2026-03-28 14:46:32,Food,Pune,POS,Net Banking,4,False
100065,1608,138727.7,2026-01-10 14:54:22,Jewelry,Delhi,Web,Net Banking,3,False
100066,949,143969.17,2026-06-01 03:29:59,Jewelry,Bangalore,Web,Card,3,True
100067,770,32279.09,2026-04-19 20:01:23,Luxury,Pune,Mobile,Net Banking,4,False
100068,962,79860.72,2026-06-15 17:05:10,Luxury,Pune,Mobile,Net Banking,1,False
100069,659,101992.92,2026-05-18 10:38:16,Luxury,Bangalore,Mobile,UPI,0,False
100070,1964,29856.05,2026-04-01 18:32:13,Luxury,Mumbai,Mobile,UPI,2,False
100071,607,66040.88,2026-02-07 03:57:56,Food,Hyderabad,Web,UPI,1,False
100072,1715,10671.31,2026-06-01 09:24:56,Electronics,Hyderabad,Mobile,UPI,2,False
100073,922,36608.53,2026-01-16 14:12:01,Food,Delhi,POS,UPI,4,False
100074,1797,72528.13,2026-04-12 15:12:45,Jewelry,Pune,Web,UPI,5,False
100075,991,39195.69,2026-05-26 10:58:49,Jewelry,Bangalore,POS,Wallet,5,False
100076,1771,77520.95,2026-04-09 03:45:02,Electronics,Chennai,Web,Card,4,True
100077,500,19923.19,2026-06-22 14:54:20,Food,Delhi,Mobile,Net Banking,0,False
100078,1882,79612.17,2026-05-14 13:25:11,Luxury,Hyderabad,POS,Net Banking,4,False
100079,1138,28648.88,2026-02-28 13:27:30,Electronics,Pune,POS,Wallet,5,False
100080,1749,118659.12,2026-01-20 06:57:51,Electronics,Mumbai,Mobile,UPI,5,False
100081,814,51225.17,2026-03-16 19:55:40,Jewelry,Chennai,POS,Net Banking,1,False
100082,1942,31941.74,2026-01-22 05:54:00,Luxury,Chennai,Web,Wallet,5,False
100083,1484,146828.93,2026-04-06 19:44:50,Jewelry,Chennai,Mobile,Card,4,False
100084,1051,52540.47,2026-01-06 20:31:52,Electronics,Mumbai,Web,Card,2,False
100085,571,65823.22,2026-05-03 17:39:31,Luxury,Chennai,Web,Wallet,1,False
100086,1814,147836.28,2026-05-27 08:39:39,Luxury,Mumbai,Web,Card,4,False
100087,1066,120358.71,2026-03-20 11:12:49,Electronics,Bangalore,Mobile,UPI,5,False
100088,1828,37797.52,2026-02-11 16:55:39,Food,Pune,Web,Card,5,False
100089,1765,54590.84,2026-02-02 17:31:32,Food,Chennai,POS,Card,1,False
100090,1652,22587.93,2026-06-25 09:27:15,Jewelry,Chennai,Mobile,Net Banking,3,False
100091,559,140646.8,2026-02-18 11:20:18,Food,Chennai,Web,Wallet,4,False
100092,696,138403.44,2026-05-19 06:07:33,Jewelry,Mumbai,Web,Net Banking,4,False
100093,1363,145731.96,2026-05-02 23:42:05,Luxury,Bangalore,Web,Card,5,False
100094,1621,35802.23,2026-05-11 05:54:51,Luxury,Chennai,POS,Card,4,False
100095,1483,121705.6,2026-05-10 00:44:10,Food,Delhi,Mobile,Wallet,0,False
100096,1708,91896.66,2026-01-15 13:29:51,Luxury,Pune,Web,Card,5,False
100097,588,82958.9,2026-01-08 07:47:06,Food,Hyderabad,Mobile,Card,4,False
100098,1880,76290.56,2026-04-28 19:06:15,Food,Hyderabad,Mobile,Card,0,False
100099,856,6711.09,2026-03-28 12:08:56,Jewelry,Mumbai,Mobile,Wallet,3,False
100100,524,144379.23,2026-01-04 03:08:28,Food,Chennai,Mobile,Net Banking,4,True
100101,1655,68725.22,2026-02-17 11:02:47,Food,Pune,Web,UPI,0,False
100102,1564,11197.41,2026-06-07 04:47:22,Jewelry,Chennai,Mobile,UPI,4,False
100103,1288,78785.65,2026-01-12 08:53:44,Food,Chennai,Mobile,Wallet,3,False
100104,1723,107753.75,2026-03-27 05:12:54,Luxury,Bangalore,Web,Net Banking,3,False
100105,635,64645.47,2026-04-05 12:43:38,Jewelry,Mumbai,Mobile,Net Banking,4,False
100106,586,89981.32,2026-02-03 10:33:01,Food,Chennai,Web,Card,4,False
100107,1413,43707.57,2026-04-22 16:23:26,Luxury,Chennai,Web,Card,2,False
100108,600,64310.03,2026-05-03 04:52:25,Food,Bangalore,Mobile,UPI,4,True
100109,905,148029.3,2026-01-08 01:33:33,Jewelry,Bangalore,POS,Net Banking,3,True
100110,1080,136859.15,2026-03-06 02:30:20,Electronics,Bangalore,POS,Net Banking,0,False
100111,1261,139143.93,2026-03-19 07:39:27,Electronics,Bangalore,POS,Wallet,3,False
100112,1074,57256.34,2026-03-26 02:26:50,Food,Pune,Mobile,Card,3,True
100113,1079,99122.68,2026-06-20 09:18:47,Luxury,Bangalore,Web,Net Banking,0,False
100114,1157,48468.48,2026-01-13 16:08:19,Jewelry,Chennai,Web,Wallet,3,False
100115,854,51162.15,2026-04-26 20:00:24,Food,Delhi,Web,Wallet,1,False
100116,1010,31112.63,2026-05-16 15:58:23,Electronics,Pune,POS,UPI,1,False
100117,1861,56490.26,2026-04-03 01:00:34,Jewelry,Chennai,Web,Wallet,0,False
100118,1483,39949.64,2026-06-23 09:57:11,Food,Chennai,Mobile,Net Banking,2,False
100119,1107,59483.6,2026-01-11 04:08:19,Luxury,Mumbai,POS,Card,0,False
100120,1631,108124.01,2026-01-05 11:24:38,Electronics,Mumbai,Mobile,UPI,1,False
100121,1071,25322.66,2026-01-12 08:55:50,Jewelry,Mumbai,Mobile,Card,5,False
100122,764,43942.85,2026-01-04 23:29:48,Jewelry,Chennai,POS,Card,4,False
100123,1217,132017.21,2026-05-13 16:08:02,Jewelry,Mumbai,Mobile,Wallet,3,False
100124,650,58148.02,2026-06-09 07:05:57,Food,Delhi,POS,Wallet,2,False
100125,1909,124653.68,2026-02-20 07:26:15,Electronics,Hyderabad,Mobile,Net Banking,4,False
100126,1493,5649.17,2026-04-23 05:42:30,Jewelry,Chennai,Web,Net Banking,5,False
100127,1576,103881.49,2026-05-09 17:27:18,Luxury,Bangalore,Mobile,Net Banking,5,False
100128,1576,42540.97,2026-05-22 00:00:21,Electronics,Mumbai,Mobile,Net Banking,3,False
100129,1666,9488.55,2026-03-10 20:36:11,Jewelry,Mumbai,Mobile,Card,2,False
100130,1467,8242.59,2026-06-25 01:44:40,Food,Chennai,Web,Wallet,4,False
100131,1122,103424.86,2026-04-09 20:32:07,Food,Bangalore,POS,Card,5,False
100132,1769,143781.59,2026-01-30 15:59:49,Jewelry,Pune,POS,Card,0,False
100133,650,115229.74,2026-03-07 15:59:36,Food,Chennai,POS,Wallet,4,False
100134,1363,114197.57,2026-04-18 12:23:51,Electronics,Chennai,Mobile,Net Banking,5,False
100135,1768,133679.02,2026-03-06 08:32:47,Electronics,Pune,Web,Wallet,3,False
100136,1506,71094.75,2026-05-21 21:04:44,Jewelry,Bangalore,Mobile,Wallet,0,False
100137,1101,48705.36,2026-05-09 06:17:01,Electronics,Chennai,POS,Card,1,False
100138,946,88514.19,2026-02-09 07:51:47,Jewelry,Chennai,Web,Wallet,2,False
100139,523,84525.26,2026-02-24 19:46:20,Electronics,Chennai,Mobile,UPI,1,False
100140,1959,19217.74,2026-05-22 22:42:02,Food,Bangalore,Mobile,UPI,3,False
100141,1287,66684.06,2026-02-25 16:27:26,Food,Chennai,Mobile,UPI,1,False
100142,1024,68564.12,2026-06-02 17:43:07,Luxury,Pune,POS,Wallet,4,False
100143,1326,81577.45,2026-05-22 06:21:35,Electronics,Hyderabad,Mobile,UPI,1,False
100144,1636,106576.74,2026-02-26 16:24:06,Jewelry,Hyderabad,POS,UPI,5,False
100145,604,58577.35,2026-06-13 07:38:14,Electronics,Bangalore,Web,Wallet,5,False
100146,639,113133.76,2026-04-14 05:27:16,Jewelry,Chennai,Web,Card,3,False
100147,1954,10460.95,2026-03-13 12:30:05,Luxury,Delhi,Web,Wallet,4,False
100148,1616,105020.63,2026-02-20 14:37:34,Food,Chennai,Web,Net Banking,4,False
100149,1333,128316.21,2026-01-11 02:00:40,Electronics,Delhi,POS,Wallet,4,True
100150,1595,138641.16,2026-01-29 03:37:18,Luxury,Pune,Web,Card,0,False
100151,1773,107686.62,2026-02-23 14:34:42,Jewelry,Hyderabad,POS,UPI,2,False
100152,1161,56899.39,2026-03-18 16:25:41,Jewelry,Mumbai,POS,Net Banking,1,False
100153,1062,116022.09,2026-05-23 17:33:31,Jewelry,Chennai,POS,UPI,2,False
100154,1255,5435.51,2026-05-14 20:23:07,Jewelry,Bangalore,Mobile,Card,2,False
100155,1279,90883.92,2026-06-12 15:36:22,Electronics,Delhi,Web,UPI,3,False
100156,1821,18154.91,2026-05-10 22:35:59,Luxury,Hyderabad,Mobile,Wallet,4,False
100157,941,102577.28,2026-02-19 14:09:42,Luxury,Pune,Web,UPI,0,False
100158,1779,119907.95,2026-03-06 19:31:59,Luxury,Chennai,Web,UPI,1,False
100159,1915,70647.77,2026-04-16 19:51:12,Food,Delhi,POS,Card,5,False
100160,535,131940.17,2026-04-19 04:41:20,Electronics,Bangalore,Mobile,UPI,3,True
100161,1950,86177.23,2026-03-13 23:37:20,Electronics,Chennai,Web,Wallet,5,False
100162,792,48453.37,2026-06-05 11:38:00,Food,Bangalore,POS,Net Banking,0,False
100163,1064,10900.47,2026-02-26 13:23:19,Jewelry,Hyderabad,Web,Wallet,0,False
100164,1787,582.03,2026-06-04 09:05:20,Electronics,Hyderabad,Web,UPI,0,False
100165,783,61287.01,2026-02-27 08:07:45,Food,Hyderabad,Mobile,Wallet,2,False
100166,837,50098.39,2026-06-12 13:15:08,Luxury,Chennai,Web,Card,0,False
100167,850,109196.68,2026-05-03 07:23:32,Luxury,Hyderabad,Web,Net Banking,4,False
100168,1994,57539.28,2026-06-23 19:00:43,Jewelry,Pune,Mobile,UPI,2,False
100169,764,26455.58,2026-02-23 08:41:44,Luxury,Mumbai,Web,UPI,0,False
100170,1307,102958.13,2026-02-25 05:48:53,Luxury,Hyderabad,Mobile,UPI,0,False
100171,1638,87267.12,2026-05-18 13:40:53,Electronics,Chennai,Web,UPI,0,False
100172,764,79339.5,2026-02-21 03:45:00,Food,Mumbai,Mobile,UPI,5,True
100173,1819,28331.13,2026-04-18 08:51:04,Food,Mumbai,Mobile,UPI,4,False
100174,1898,49387.98,2026-02-01 13:48:18,Jewelry,Mumbai,Mobile,Wallet,2,False
100175,1809,120976.84,2026-05-22 04:11:24,Luxury,Delhi,POS,Card,4,True
100176,1713,116304.23,2026-01-20 08:14:52,Food,Bangalore,Web,Card,1,False
100177,1660,48102.65,2026-04-02 20:10:27,Luxury,Bangalore,POS,Wallet,1,False
100178,1344,59032.71,2026-06-20 05:26:49,Electronics,Delhi,POS,UPI,1,False
100179,678,60502.26,2026-05-04 01:26:16,Electronics,Pune,Mobile,Net Banking,0,False
100180,1616,54453.71,2026-05-31 13:17:37,Electronics,Mumbai,Mobile,UPI,4,False
100181,1260,39379.19,2026-04-06 13:47:50,Electronics,Bangalore,Web,Wallet,2,False
100182,1435,56855.81,2026-04-26 18:49:55,Electronics,Mumbai,Mobile,UPI,2,False
100183,1642,19076.16,2026-03-12 16:45:54,Electronics,Delhi,POS,Wallet,5,False
100184,1141,120115.02,2026-05-26 04:17:59,Electronics,Bangalore,POS,UPI,5,True
100185,1459,136252.12,2026-02-13 07:50:37,Jewelry,Bangalore,Mobile,Net Banking,0,False
100186,631,16616.89,2026-05-16 17:56:07,Jewelry,Bangalore,Mobile,UPI,4,False
100187,1724,60791.53,2026-03-29 15:09:31,Jewelry,Chennai,Mobile,UPI,0,False
100188,1355,7990.39,2026-01-13 22:41:15,Food,Hyderabad,Web,UPI,0,False
100189,759,39047.03,2026-03-24 23:43:44,Luxury,Chennai,POS,Card,1,False
100190,938,25689.03,2026-04-10 18:12:09,Jewelry,Pune,Mobile,UPI,0,False
100191,577,64451.59,2026-01-02 08:37:23,Food,Hyderabad,Web,Net Banking,1,False
100192,1696,48954.41,2026-04-22 02:32:32,Food,Pune,Mobile,UPI,3,False
100193,560,71300.83,2026-04-19 17:28:51,Electronics,Hyderabad,Web,Card,4,False
100194,913,22346.15,2026-03-06 08:16:36,Electronics,Bangalore,Web,UPI,3,False
100195,832,60562.53,2026-04-23 00:37:50,Jewelry,Hyderabad,POS,UPI,4,True
100196,982,22394.37,2026-06-23 10:49:27,Food,Delhi,Mobile,Wallet,0,False
100197,1994,47460.95,2026-01-21 03:12:29,Food,Hyderabad,POS,Card,2,False
100198,1000,92761.87,2026-06-10 14:36:46,Electronics,Pune,Web,Card,4,False
100199,1747,146233.93,2026-05-28 03:32:57,Luxury,Mumbai,Web,Wallet,3,True
100200,589,15939.45,2026-03-26 22:03:57,Electronics,Hyderabad,Mobile,Card,5,False
100201,543,146007.81,2026-01-04 06:38:11,Electronics,Hyderabad,Web,Net Banking,5,False
100202,1253,31331.73,2026-06-07 00:31:07,Food,Chennai,Mobile,Card,3,False
100203,1251,88382.78,2026-05-19 03:39:51,Jewelry,Pune,Mobile,Wallet,0,False
100204,887,2173.22,2026-01-05 06:07:17,Food,Delhi,Mobile,Wallet,5,False
100205,1462,144558.92,2026-05-18 12:57:11,Luxury,Mumbai,POS,Wallet,5,False
100206,648,3555.67,2026-01-27 15:48:15,Luxury,Mumbai,Mobile,Wallet,5,False
100207,817,86929.23,2026-06-14 14:38:59,Jewelry,Bangalore,Mobile,Net Banking,2,False
100208,1706,40684.27,2026-06-07 09:24:36,Food,Chennai,Mobile,Net Banking,0,False
100209,737,108321.87,2026-05-01 10:01:26,Electronics,Bangalore,Web,Card,4,False
100210,647,17170.46,2026-03-03 07:45:38,Luxury,Hyderabad,POS,Card,4,False
100211,1199,78908.58,2026-06-19 01:41:03,Electronics,Pune,Mobile,Net Banking,1,False
100212,1506,32043.65,2026-02-17 16:26:33,Food,Delhi,Mobile,UPI,5,False
100213,607,149173.13,2026-04-25 05:20:45,Luxury,Delhi,Mobile,Card,1,False
100214,1666,149483.48,2026-03-02 15:39:38,Electronics,Chennai,Mobile,UPI,3,False
100215,841,69595.63,2026-04-06 00:04:38,Jewelry,Chennai,Web,Card,1,False
100216,1296,34257.84,2026-05-03 02:35:11,Luxury,Delhi,Mobile,Net Banking,4,False
100217,852,76366.54,2026-02-01 00:27:35,Food,Bangalore,Web,Wallet,4,True
100218,1181,108028.62,2026-04-19 15:39:07,Food,Hyderabad,POS,UPI,3,False
100219,595,120615.29,2026-01-17 03:02:19,Jewelry,Hyderabad,Mobile,Net Banking,4,True
100220,1168,15791.13,2026-03-04 17:08:52,Food,Pune,Mobile,Net Banking,3,False
100221,1399,39997.7,2026-05-03 20:21:33,Luxury,Mumbai,POS,Card,2,False
100222,1897,54454.8,2026-02-23 02:30:11,Electronics,Pune,POS,Net Banking,4,True
100223,1279,49452.94,2026-03-24 20:02:25,Electronics,Hyderabad,Mobile,Net Banking,4,False
100224,919,117202.24,2026-04-16 15:06:07,Jewelry,Hyderabad,Web,Net Banking,2,False
100225,1132,26036.7,2026-02-26 01:04:46,Jewelry,Mumbai,POS,Wallet,3,False
100226,675,44805.65,2026-06-18 14:00:19,Electronics,Delhi,Web,Wallet,1,False
100227,1464,86711.36,2026-05-17 15:34:16,Luxury,Bangalore,Web,UPI,2,False
100228,1695,33272.99,2026-06-22 00:10:30,Jewelry,Delhi,Web,UPI,1,False
100229,1183,21891.81,2026-03-14 15:25:01,Electronics,Mumbai,POS,Card,2,False
100230,817,138862.26,2026-05-12 06:22:45,Food,Pune,Mobile,Net Banking,4,False
100231,1562,19383.44,2026-04-06 13:58:32,Luxury,Mumbai,POS,Net Banking,1,False
100232,1976,93221.82,2026-04-23 20:57:04,Food,Hyderabad,Mobile,Card,3,False
100233,1705,2826.91,2026-03-01 15:40:46,Food,Hyderabad,Web,Wallet,0,False
100234,1881,111943.11,2026-01-21 10:44:57,Electronics,Hyderabad,Mobile,Card,5,False
100235,1846,65608.37,2026-03-18 07:51:20,Electronics,Pune,Web,Net Banking,5,False
100236,1771,8362.76,2026-04-03 13:36:20,Food,Chennai,Mobile,UPI,5,False
100237,1658,105599.52,2026-05-23 14:59:13,Electronics,Hyderabad,POS,Wallet,1,False
100238,1311,60616.89,2026-06-16 12:44:40,Luxury,Chennai,Mobile,Wallet,2,False
100239,1477,115298.11,2026-02-28 08:15:25,Jewelry,Chennai,Web,Wallet,3,False
100240,1484,69163.23,2026-06-12 13:13:47,Luxury,Delhi,Mobile,UPI,0,False
100241,897,85445.87,2026-06-03 16:22:14,Luxury,Hyderabad,POS,UPI,0,False
100242,549,29372.41,2026-04-05 13:12:10,Food,Mumbai,Web,UPI,3,False
100243,1277,63252.27,2026-02-08 00:49:05,Jewelry,Mumbai,Web,Wallet,5,True
100244,586,71034.44,2026-04-16 04:47:27,Food,Hyderabad,POS,Wallet,2,False
100245,957,59782.27,2026-05-23 16:07:49,Food,Delhi,Mobile,Net Banking,5,False
100246,723,82681.01,2026-03-28 01:19:07,Electronics,Delhi,Mobile,UPI,5,True
100247,782,45048.71,2026-05-29 19:44:22,Electronics,Delhi,Web,UPI,1,False
100248,633,129710.1,2026-05-20 06:01:32,Electronics,Bangalore,Mobile,Net Banking,1,False
100249,1407,130923.29,2026-02-25 08:30:13,Jewelry,Mumbai,Mobile,Card,4,False
100250,1705,13577.79,2026-03-30 10:28:22,Luxury,Mumbai,POS,Wallet,5,False
100251,999,102981.76,2026-04-14 02:47:18,Jewelry,Pune,Web,Wallet,4,True
100252,1091,75416.48,2026-02-16 14:05:00,Luxury,Hyderabad,Web,UPI,3,False
100253,510,57684.79,2026-04-16 13:44:58,Electronics,Pune,POS,Net Banking,4,False
100254,1272,57450.86,2026-02-06 14:48:27,Electronics,Pune,POS,Net Banking,1,False
100255,1298,22657.15,2026-02-05 11:02:15,Electronics,Chennai,POS,UPI,5,False
100256,1510,25010.78,2026-06-23 22:56:46,Jewelry,Chennai,Mobile,Card,4,False
100257,869,72529.68,2026-06-02 01:54:21,Luxury,Bangalore,Web,UPI,2,False
100258,1978,4561.18,2026-04-15 12:00:31,Luxury,Delhi,Web,UPI,4,False
100259,795,21833.96,2026-03-05 05:01:29,Luxury,Hyderabad,Mobile,UPI,5,False
100260,631,95021.9,2026-02-02 22:53:49,Electronics,Bangalore,POS,Net Banking,2,False
100261,658,25616.92,2026-03-07 16:32:22,Food,Mumbai,POS,Wallet,2,False
100262,1758,115753.18,2026-02-23 04:04:55,Luxury,Chennai,Mobile,UPI,5,True
100263,1165,141178.2,2026-06-19 22:41:13,Electronics,Mumbai,Mobile,Card,4,False
100264,1091,79744.85,2026-04-27 02:10:40,Electronics,Delhi,POS,Wallet,0,False
100265,987,39558.05,2026-01-15 15:22:23,Luxury,Mumbai,Web,UPI,0,False
100266,1367,6658.01,2026-05-23 06:04:16,Food,Chennai,Web,Wallet,2,False
100267,1353,89013.24,2026-05-31 06:17:05,Electronics,Bangalore,Web,Net Banking,2,False
100268,1471,17340.54,2026-06-21 23:05:18,Jewelry,Pune,Web,Net Banking,2,False
100269,788,75870.0,2026-01-26 02:52:48,Food,Delhi,Mobile,Wallet,3,True
100270,1705,11773.49,2026-01-05 22:34:02,Jewelry,Mumbai,Web,Wallet,2,False
100271,1878,33264.9,2026-01-27 17:43:23,Luxury,Pune,Mobile,UPI,5,False
100272,1847,5892.86,2026-03-25 00:06:09,Electronics,Hyderabad,Web,Wallet,5,False
100273,1132,19657.48,2026-04-29 01:36:56,Luxury,Chennai,Web,UPI,3,False
100274,1272,16534.93,2026-06-04 02:34:05,Food,Chennai,Web,Card,2,False
100275,846,132630.27,2026-02-14 21:06:04,Jewelry,Chennai,Mobile,Net Banking,2,False
100276,1630,99479.82,2026-03-23 14:41:37,Food,Hyderabad,POS,UPI,1,False
100277,1478,90580.41,2026-04-23 01:38:02,Jewelry,Hyderabad,Mobile,Card,1,False
100278,912,8281.78,2026-01-16 08:41:49,Food,Pune,Mobile,UPI,3,False
100279,1398,45357.4,2026-03-22 05:48:23,Food,Bangalore,POS,Card,3,False
100280,1992,124878.66,2026-06-09 14:53:25,Food,Hyderabad,Mobile,Card,2,False
100281,1980,126545.76,2026-06-03 02:17:28,Jewelry,Chennai,Mobile,UPI,1,False
100282,1348,12838.87,2026-01-11 00:42:08,Electronics,Pune,Mobile,Net Banking,3,False
100283,1960,124401.71,2026-01-23 12:30:45,Food,Delhi,Web,Net Banking,0,False
100284,853,60011.31,2026-03-22 19:22:03,Luxury,Bangalore,Mobile,Wallet,3,False
100285,1296,120564.52,2026-01-02 00:24:07,Food,Delhi,Mobile,Net Banking,3,True
100286,1478,600.05,2026-05-11 06:05:15,Luxury,Delhi,Web,Net Banking,2,False
100287,1596,7352.42,2026-05-06 15:10:31,Luxury,Pune,Mobile,Wallet,0,False
100288,1637,30175.2,2026-04-08 00:27:19,Luxury,Delhi,Mobile,Net Banking,2,False
100289,1154,70704.81,2026-01-28 01:24:52,Jewelry,Delhi,Mobile,Net Banking,1,False
100290,1079,96749.53,2026-03-15 17:24:25,Electronics,Hyderabad,POS,Net Banking,4,False
100291,1778,102019.05,2026-05-07 23:42:08,Electronics,Pune,Web,Card,2,False
100292,1661,56836.17,2026-05-08 07:44:39,Electronics,Chennai,Mobile,Card,5,False
100293,1006,107712.2,2026-06-04 10:16:38,Jewelry,Chennai,Web,UPI,5,False
100294,536,112922.75,2026-05-05 09:09:11,Electronics,Hyderabad,POS,Wallet,1,False
100295,1653,117388.86,2026-01-28 00:37:00,Luxury,Pune,Mobile,Net Banking,5,True
100296,1427,54870.26,2026-04-17 18:27:43,Luxury,Bangalore,Web,UPI,1,False
100297,1068,117574.18,2026-03-03 01:25:52,Food,Pune,Mobile,Net Banking,2,False
100298,665,92959.96,2026-06-23 11:05:02,Luxury,Chennai,Web,Wallet,0,False
100299,1994,149525.45,2026-01-05 11:25:35,Food,Bangalore,Mobile,Card,0,False
100300,1192,54312.51,2026-04-21 11:40:03,Food,Pune,Mobile,Net Banking,5,False
